id,keyo,image hi-res,image 2 retina,direction
1,1,0101_FPP_Chicken-Rice_18594_WEB_high_feature,0101_FPP_Chicken-Rice_18594_WEB_retina_feature,"1. Heat a medium pot of salted water to boiling on high. Once boiling, add the lentils and cook, uncovered, 27 to 29 minutes, or until tender. Drain thoroughly and rinse under warm water 30 seconds to 1 minute, or until the water runs clear."
2,1,0101_FPP_Chicken-Rice_18609_WEB_high_feature,0101_FPP_Chicken-Rice_18609_WEB_retina_feature,"2. While the lentils cook, wash and dry the fresh produce. Peel and thinly slice the onion. Peel and roughly chop the garlic. Peel and medium dice the carrots. Roughly chop the capers. Remove and discard the stems of the collard greens; roughly chop the leaves."
3,1,0101_FPP_Chicken-Rice_18622_WEB_high_feature,0101_FPP_Chicken-Rice_18622_WEB_retina_feature,"3. While the lentils continue to cook, pat the chicken dry with paper towels; season on both sides with salt, pepper, and half the spice blend. In a large pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the seasoned chicken and cook 5 to 7 minutes per side, or until browned and cooked through. Leaving any browned bits (or fond) in the pan, transfer to a cutting board."
4,1,0101_FPP_Chicken-Rice_18626_WEB_high_feature,0101_FPP_Chicken-Rice_18626_WEB_retina_feature,"4. Add the sliced onion, chopped garlic, and diced carrots to pan of reserved fond; season with salt and pepper. (If the pan seems dry, add 2 teaspoons of olive oil.) Cook on medium-high, stirring frequently, 4 to 5 minutes, or until softened and fragrant. Add the tomato paste, chopped capers, remaining spice blend, and as much of the red pepper flakes as you’d like, depending on how spicy you’d like the dish to be. Cook, stirring constantly, 30 seconds to 1 minute, or until dark red and fragrant. Add the chopped collard greens and 2 cups of water; season with salt and pepper. Cook, stirring occasionally and scraping up any fond, 8 to 9 minutes, or until the collard greens have wilted and the liquid has thickened. Turn off the heat."
5,1,0101_FPP_Chicken-Rice_18630_WEB_high_feature,0101_FPP_Chicken-Rice_18630_WEB_retina_feature,5. Slice the cooked chicken crosswise. Add the cooked lentils and vinegar to the pan of cooked vegetables. Stir to combine. Season with salt and pepper to taste. Serve the finished lentils and vegetables topped with the sliced chicken. Garnish with the cheese. Enjoy!
6,1,0101_FPP_Chicken-Rice_18639_WEB_high_feature,0101_FPP_Chicken-Rice_18639_WEB_retina_feature,6. Slice the cooked chicken crosswise. Add the cooked lentils and vinegar to the pan of cooked vegetables. Stir to combine. Season with salt and pepper to taste. Serve the finished lentils and vegetables topped with the sliced chicken. Garnish with the cheese. Enjoy!6.6
7,2,0101_2PM_Steaks-Diane_18414_WEB_high_feature,0101_2PM_Steaks-Diane_18414_WEB_retina_feature,"1. Heat a medium pot of salted water to boiling on high. Wash and dry the fresh produce. Large dice the potatoes. Peel the garlic. Using the flat side of your knife, smash 1 clove to flatten. Roughly chop the remaining clove. Peel and thinly slice the shallot. Remove and discard the stems of the kale; roughly chop the leaves. Thinly slice the mushrooms."
8,2,0101_2PM_Steaks-Diane_18506_WEB_high_feature,0101_2PM_Steaks-Diane_18506_WEB_retina_feature,"2. Add the diced potatoes and smashed garlic to the pot of boiling water and cook 13 to 15 minutes, or until tender when pierced with a fork. Turn off the heat. Drain thoroughly and return to the pot. Add half the butter and a drizzle of olive oil. Using a fork, mash to your desired consistency. Season with salt and pepper to taste. Cover to keep warm."
9,2,0101_2PM_Steaks-Diane_18516_WEB_high_feature,0101_2PM_Steaks-Diane_18516_WEB_retina_feature,"3. While the potatoes cook, in a large pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the sliced shallot; season with salt and pepper. Cook, stirring occasionally, 1 to 2 minutes, or until softened. Add the chopped kale and 1/4 cup of water; season with salt and pepper. Cook, stirring frequently, 3 to 4 minutes, or until the kale has wilted and the water has cooked off. Transfer to a bowl and season with salt and pepper to taste. Cover with aluminum foil to keep warm. Rinse and wipe out the pan."
10,2,0101_2PM_Steaks-Diane_18524_WEB_high_feature,0101_2PM_Steaks-Diane_18524_WEB_retina_feature,"4. While the potatoes continue to cook, pat the beef dry with paper towels. Season with salt and pepper on both sides. In the same pan, heat 1 tablespoon of olive oil on medium-high until hot. Add the seasoned beef and cook 2 to 3 minutes per side for medium-rare, or until browned and cooked to your desired degree of doneness. Leaving any browned bits (or fond) in the pan, transfer to a plate and let rest for at least 5 minutes."
