id,keyo,ingredients
1,1,"4 Boneless, Skinless Chicken Breasts"
2,1,1 Tbsp Ancho Chile Paste
3,1,2 Tbsps Crème Fraîche
4,1,3 Tbsps Golden Raisins
5,2,4 oz Cremini Mushrooms 
6,2,¾ lb Yukon Gold Potatoes
7,3,1 Piece Focaccia Bread
8,3,1 8-Ounce Can Tomato Sauce
9,3,½ lb Fresh Mozzarella Cheese
10,3,2 Clementines
11,3,2 cloves Garlic
12,3,2 Romaine Lettuce Hearts
13,3,1 lb Broccoli
14,3,1 oz Golden Or Red Sweet Piquante Peppers
15,3,2 Tbsps Crème Fraîche
16,3,1 Tbsp Dijon Mustard
17,3,½ cup Basil & Cashew Pesto (Contains Pine Nuts)
18,3,⅓ cup Shaved Parmesan Cheese
19,3,"1 Tbsp Italian Seasoning (Whole Dried Basil, Sage, Oregano, Savory, Rosemary, Thyme, & Marjoram)"
20,4,1½ lbs Pizza Dough
21,4,3 cloves Garlic
22,4,1 Romaine Lettuce Heart
23,4,1 lb Broccoli
24,4,1 cup Part-Skim Ricotta Cheese
25,4,1 8-Ounce Can Tomato Sauce
26,4,½ lb Fresh Mozzarella Cheese
27,4,¼ cup Grated Parmesan Cheese
28,4,2 oz Black Cerignola Olives
29,4,"1 Tbsp Italian Seasoning (Whole Dried Basil, Sage, Oregano, Savory, Rosemary, Thyme, & Marjoram) "
30,4,1 Lemon
31,5,2 Tbsps Crème Fraîche
32,5,¼ tsp Crushed Red Pepper Flakes 
33,5,3 Tbsps All-Purpose Flour 
34,5,¼ cup Grated Pecorino Cheese
35,6,6 oz Bucatini Pasta
36,6,1 14-Ounce Can Datterini Tomatoes
37,6,2 cloves Garlic
38,6,2 Tbsps Butter
39,6,1 Tbsp Capers
40,6,1 lb Broccoli
41,6,¾ oz Grana Padano Cheese
42,6,1 oz Kalamata Olives
43,6,¼ tsp Crushed Red Pepper Flakes
44,6,"1 Tbsp Italian Seasoning (Whole Dried Basil, Sage, Oregano, Savory, Rosemary, Thyme, & Marjoram)"
45,7,8 Flour Tortillas
46,7,¾ cup Jasmine Rice 
47,7,1 28-Ounce Can Whole Peeled Tomatoes
48,7,4 oz Cremini Mushrooms
49,7,3 cloves Garlic
50,7,1 Yellow Onion
51,7,1 bunch Chives
52,7,2 Tbsps Ancho Chile Paste
53,7,"1 Tbsp Mexican Spice Blend (Ancho Chile Powder, Sweet Paprika, Garlic Powder, Ground Cumin, & Whole Mexican Oregano)"
54,7,½ lb White Cheddar Cheese
55,7,½ cup Sour Cream
56,8,21 oz Wild Alaskan Pollock Fillets
57,8,2 Cage-Free Farm Eggs
58,8,2 Tbsps Sweet Pickle Relish
59,8,1 Romaine Lettuce Heart
60,8,"1 Tbsp Weeknight Hero Spice Blend (Garlic Powder, Onion Powder, Smoked Paprika, & Whole Dried Parsley) "
61,8,1¼ cups Panko Breadcrumbs
62,8,¼ cup Creamy Mustard Sauce
63,9,10 oz Chopped Chicken Breast
64,9,1 head Baby Bok Choy
65,9,¾ cup Jasmine Rice
66,9,2 cloves Garlic
67,9,1 Tbsp Rice Vinegar
68,9,1 1-Inch Piece Ginger
69,9,1 tsp Sriracha
70,9,1 Tbsp Honey
71,9,1 Tbsp Sesame Oil 
72,9,¼ cup Cornstarch
73,9,2 Tbsps Hoisin Sauce
74,10,"4 Boneless, Center-Cut Pork Chops "
75,10,2 Carrots
76,10,1 bunch Chives
77,10,2 Tbsps Tahini
78,10,2 Tbsps Soy Sauce
79,10,¾ lb Fresh Wonton Noodles
80,10,2 tsps Sambal Oelek
81,10,1 1-Inch Piece Ginger
82,10,¼ cup Hoisin Sauce
83,11,4 Skin-On Barramundi Fillets
84,11,½ cup Plain Greek Yogurt
85,11,1⅛ lbs Yukon Gold Potatoes 
86,11,"1 Tbsp Za'atar Seasoning (Ground Sumac, Sesame Seeds, Salt, Ground Thyme, Whole Dried Oregano, & Crushed Aleppo Pepper)"
87,12,4 Cage-Free Farm Eggs 
88,12,1 cup Part-Skim Ricotta Cheese 
89,12,1 Romaine Lettuce Heart 
90,12,2 Tbsps Sliced Roasted Almonds
91,12,"1 Tbsp Cajun Spice Blend (Smoked Paprika, Ground Yellow Mustard, Onion Powder, Garlic Powder, Whole Dried Oregano, Whole Dried Thyme, & Cayenne Pepper) "
92,12,2 Tbsps Crème Fraîche
93,13,4 Flour Tortillas 
94,13,3 oz Radishes
95,13,1 Orange 
96,13,¾ lb Yukon Gold Potatoes 
97,13,6 oz Cremini Mushrooms 
98,13,1 Shallot 
99,13,3 Tbsps Roasted Peanuts
100,13,¼ cup Sour Cream
101,13,1 oz Sliced Pickled Jalapeño Pepper
102,13,"1 Tbsp Spanish Spice Blend (Smoked Paprika, Ground Cumin, Ground Coriander, Dried Mexican Oregano, Cayenne Pepper, & Ground Cinnamon) "
103,13,1 Romaine Lettuce Heart 
104,13,2 Tbsps Rice Vinegar
105,14,"4 Boneless, Skinless Chicken Breasts "
106,14,¼ cup All-Purpose Flour
107,14,½ cup Grated Parmesan Cheese
108,14,"1 Tbsp Weeknight Hero Spice Blend (Garlic Powder, Onion Powder, Smoked Paprika, & Whole Dried Parsley)
"
109,15,2 Potato Buns 
110,15,1 Sweet Potato 
111,15,2 oz Cheddar Cheese
112,15,1 oz Sweet Piquante Peppers 
113,15,2 Tbsps Mayonnaise 
114,15,"1 tsp Pimento Cheese Spice Blend (Garlic Powder, Ground Yellow Mustard, & Sugar)"
115,16,¾ lb Yukon Gold Potatoes 
116,16,10 oz Ground Pork Chorizo 
117,16,2 Tbsps Crème Fraîche 
118,16,2 Tbsps Grated Cotija Cheese
119,17,2 Cage-Free Farm Eggs
120,17,½ cup Fregola Sarda Pasta 
121,17,1 clove Garlic 
122,17,1 lb Broccoli
123,17,1 Red Onion 
124,17,1 bunch Mint 
125,17,2 Tbsps Tahini
126,17,1 oz Pecorino Romano Cheese
127,17,"1 Tbsp Za'atar Seasoning (Ground Sumac, Sesame Seeds, Salt, Ground Thyme, Whole Dried Oregano, & Crushed Aleppo Pepper) "
128,17,3 Tbsps Roasted Almonds 
129,17,1 Lemon
130,18,⅔ cup Cracked Freekeh 
131,18,½ cup Sheep's Milk Yogurt 
132,18,2 Carrots 
133,18,2 cloves Garlic 
134,18,1 Lemon 
135,18,1 bunch Mint
136,18,2 Dried Medjool Dates 
137,18,2 Tbsps Pickled Peruvian Peppers
138,18,1¾ oz Barrel-Aged Feta Cheese
139,18,2 Tbsps Roasted Almonds 
140,18,¼ tsp Crushed Red Pepper Flakes 
141,18,¾ lb Brussels Sprouts
142,19,2 Cage-Free Farm Eggs 
143,19,2 cloves Garlic 
144,19,1 head Cauliflower 
