id,title,subtitle,description,recipe_img,ingredients_img
1,Ancho-Orange Chicken,With Kale Rice & Rosted Carrots,"Weʼre amping up chicken breasts with a glaze of smoky ancho chile paste and fresh orange juice in this recipe. On the side, roasted carrots and lightly creamy, golden raisin-studded rice perfectly accent the sweetness of the glaze.",0101_FPP_Chicken-Rice_97338_WEB_SQ_hi_res,0101_ING_FPP_large_feature
2,Beef Medallions & Mushroom Sauce,With Mashed Potatoes,"In this easy recipe, inspired by steak Diane (an American restaurant classic), weʼre searing beef medallions, then using the fond in the pan to make a rich, bright mushroom sauce for spooning on top. Garlic mashed potatoes and sautéed kale make for delicious, simple sides.",0101_2PM_Steak-Diane_97315_SQ_hi_res,ING_1-1_2PM_large_feature
3,Broccoli & Basil Pesto Sandwiches,with Romaine & Citrus Salad,"These Italian focaccia sandwiches are layered with broccoli, three cheeses, and a savory basil, cashew, and pine nut pesto, then baked in the oven to meld all the bright, aromatic flavors. On the side, weʼre serving a refreshing salad of romaine and seasonal clementine, dressed in a creamy dressing made with fresh clementine juice.",1225_FPV_Pesto_-Broccoli-Sandwich_74916_WEB_SQ_hi_res,1225_ING_FPV_large_feature
4,Broccoli & Mozzerella Calzones,With Caeser Salad,"These calzones are loaded with melty fresh mozzarella, creamy ricotta, and tender broccoli—balanced by a tangy tomato dipping sauce. For a refreshing side, weʼre tossing crunchy romaine and briny black olives in our take on Caesar dressing.",0101_FPV_Broccoli-Calzones_97286_WEB_SQ_hi_res,0101_ING_FPV_large_feature
5,Bucatini Alfredo,With Broccoli,"This quick-cooking recipe captures all the deliciously creamy, rich flavor of the classic Italian-American sauce—with the welcome addition of quick-braised broccoli. A dusting of pecorino cheese completes each bowl with a touch of sharpness.",0101_2PV1_Broccoli-Bucatini-Fettuccine_97230_SQ_hi_res,ING_1-1_2PV1_large_feature
6,Bucatini & Tomato Sauce,with Roasted Broccoli,"Made with petite datterini tomatoes, the sauce for tonightʼs bucatini highlights briny olives and capers, hot red pepper flakes, and savory Grana Padano cheese. Weʼre mixing in roasted broccoli for contrasting texture and nutty-sweet flavor.",1225_2PV1_Bucatini_100082_SQ_hi_res,ING_12-25_2PV1_large_feature
7,Cheesy Enchiladas Roajas,with Mushrooms & Kale,"Our hearty vegetarian enchiladas are filled with a combination of fragrant, Mexicanspiced rice and sautéed mushrooms and kale. For even more flavor, weʼre baking them under a smoky-sweet tomato sauce flavored with ancho chile paste and a layer of melty white cheddar. A dollop of lime-seasoned sour cream adds creamy, cooling balance. (You may receive green curly, dark green lacinato, or red kale.)",1120_FPV_Emchiladas_74891_WEB_SQ_hi_res,1218_ING_FPV_large_feature
8,Crispy Fish Sandwiches,with Tartar Sauce Roasted Sweet Potato Wedges,"These sandwiches highlight wild Alaskan pollock—flavored with aromatic seasonings, coated with panko breadcrumbs, and pan-fried for a golden-brown rust. In classic fashion, a tangy, mayo-based tartar sauce perfectly balances the fish.",0101_FPF_Crispy-Wild-Alaskan-Pollock_97377_WEB_SQ_hi_res,0101_ING_FPF_large_feature
9,General Tso's Chicken,with Bok Choy and Jasmine Rice,"In this quick-cooking spin on a takeout favorite, hoisin sauce, honey, sriracha, and sesame oil lend our chicken the sweet, spicy, and nutty flavors General Tsoʼs is known for. A light dusting of cornstarch on the chicken just before it hits the pan creates a delicately crispy exterior (and helps it soak up the irresistible sauce later).",0101_2PRE07_General-Tsos-Chicken_97217_WEB_SQ_hi_res,0101_ING_2PRE07_large_feature
10,Hoisin-Glazed Pork Chops,with Stir-Fried Vegetables & Wonton Noodles,"Delightfully chewy wonton noodles tossed in a nutty, savory sauce are a delicious accompaniment to these pork chops. For depth of flavor, weʼre pan-searing the pork chops, then glazing them with barbecue-like hoisin, whose sweetness perfectly matches bites of sautéed carrots in the noodles.",0101_FPM_Pork-Chops_97303_WEB_SQ_hi_res,0101_ING_FPM_large_feature
11,Honey-Butter Barramundi,with Za'atar Roasted Vegetables,"This Middle Eastern recipe pairs crispy barramundi—served in a family-friendly pan sauce of honey and butter—with a medley of winter vegetables. For savory, herby flavor, weʼre seasoning the vegetables with zaʼatar before roasting them.",0108_FPF_Barramundi_0304_WEB_SQ_hi_res,0108_ING_FPF_AR_large_feature
12,Kale & Ricotta Quiche,"with Romaine, Apple, & Almond Salad","This crowd-pleasing quiche showcases a rich, eggy filling made with ricotta and cream —balanced by hearty sautéed kale. On the side, weʼre serving a refreshing salad of crisp romaine and apple, wrapped in a creamy lemon dressing.",0108_FPV_Kale-Quiche_97823_WEB_SQ_hi_res,0108_ING_FPV_large_feature
13,Mushroom & Potato Tacos,with Romaine & Orange Salad,"For this hearty vegetarian meal, weʼre filling soft flour tortillas with mushrooms and potato—seasoned with a zesty, chorizo-inspired blend, then roasted. A pickled pepper relish lends bright flavor to the tacos, all tied together with a creamy sauce seasoned with the same spices. Our side salad of juicy orange and crunchy romaine rounds out the dish.",1225_2PV2_Mushroom-Potato-Tacos_100074_SQ_hi_res,ING_12-25_2PV2_large_feature
14,Parmesan-Crusted Chicken,with Mashed Sweet Potatoes & Roasted Broccoli,"In this simple, seasonal recipe, youʼll coat chicken in a combination of flour, parmesan cheese, and savory spices before pan-searing it. Weʼre adding more of the same spices to a bright, creamy sauce, perfect for spooning over the chicken and broccoli. ",0108_FPP_Baked-Parmesan-Chicken_98333_WEB_Center_hi_res,0108_ING_FPP_large_feature
15,Pimento Cheeseburgers,with Sweet Potato Oven Fries,"Tonight, the classic cheeseburger gets an easy, Southern-style lift from pimento cheese —a zesty spread made with cheddar, mayo, pickled peppers, and spices. Weʼre serving our burgers with sweet potato oven fries for a flavorful, seasonal twist on the usual side.",1120_2PRE08_Pimento-Burgers_93077_WEB_Right_hi_res,1120_ING_2PRE08_large_feature
